id,owner_id,parent_id,slug,title,status,type,source_url,created_at,updated_at,published_at,deleted_at,owner_username,tabcoins,tabcoins_credit,tabcoins_debit,children_deep_count
bffacace-fdd2-4c7c-8fc3-4518ad179025,9b458c0b-0c21-433f-a8f0-2efd3dd884b1,,desenvolvedores-criam-ferramentas-para-combater-coleta-de-dados-por-ias-que-ignoram-robots-txt,Desenvolvedores criam ferramentas para combater coleta de dados por IAs que ignoram “robots.txt”,published,content,https://arstechnica.com/tech-policy/2025/01/ai-haters-build-tarpits-to-trap-and-trick-ai-scrapers-that-ignore-robots-txt/,2025-01-29T18:22:38.099Z,2025-01-29T18:22:38.099Z,2025-01-29T18:22:38.112Z,,NewsletterOficial,1,0,0,0
794f7649-43f0-4476-9fa6-7b006a09c61d,9b458c0b-0c21-433f-a8f0-2efd3dd884b1,,xb-1-torna-se-primeira-aeronave-comercial-a-quebrar-a-barreira-do-som,XB-1 torna-se primeira aeronave comercial a quebrar a barreira do som,published,content,https://techcrunch.com/2025/01/28/booms-xb-1-becomes-first-civil-aircraft-to-go-supersonic/,2025-01-29T17:54:31.950Z,2025-01-29T17:54:31.950Z,2025-01-29T17:54:32.093Z,,NewsletterOficial,1,0,0,0
cadd00fa-ab1b-4b82-9985-81b41a036e95,9b458c0b-0c21-433f-a8f0-2efd3dd884b1,,openai-lanca-chatgpt-para-agencias-governamentais-dos-eua,OpenAI lança ChatGPT para agências governamentais dos EUA,published,content,https://www.theverge.com/news/598852/openai-chatgpt-gov-government-agencies,2025-01-29T17:40:37.955Z,2025-01-29T17:40:37.955Z,2025-01-29T17:40:37.986Z,,NewsletterOficial,1,0,0,0
fd9cf587-ca34-4c8f-9c8f-2c82722a346d,783a5abe-02f6-4806-9c45-3b3c360f7c7b,,novos-recursos-da-api,Novos Recursos da API,published,content,,2025-01-29T17:10:39.997Z,2025-01-29T18:12:30.610Z,2025-01-29T17:10:40.036Z,,MezzoDio,1,0,0,0
a17fb262-4441-4df5-8dd0-0f070c115c18,1ce8b0d5-b281-40a5-b1b2-dd0d12badfa1,,duvida-tecnologias-usadas-no-curso-dev,(Dúvida) Tecnologias usadas no curso.dev,published,content,,2025-01-29T16:10:38.806Z,2025-01-29T16:10:38.806Z,2025-01-29T16:10:38.810Z,,gsnunes47,1,0,0,0
d5e7faf1-8a32-44b7-85d7-7b33519ec729,7f92fae8-2469-4c98-a52f-693e8ff9b482,,utilizacao-de-libs-em-java,Utilização de libs em Java,published,content,,2025-01-29T15:09:11.979Z,2025-01-29T15:09:11.979Z,2025-01-29T15:09:12.018Z,,VictorUemura,7,6,0,6
46448e74-ab69-418b-bdb6-45021d10a7a5,e3fa1cc8-5698-48c2-980e-929f87bc8e04,,pitch-seu-resumo-diario-de-newsletters-tech-pelo-whatsapp-gratuito,Pitch: Seu resumo diário de newsletters tech pelo Whatsapp (Gratuito),published,content,,2025-01-29T14:12:22.319Z,2025-01-29T14:15:13.564Z,2025-01-29T14:12:22.325Z,,mabreum,1,3,-3,0
3df62ef3-5964-4023-a6a7-29edfb724447,335990fb-0252-406d-831c-479dfce4fb85,,quanto-cobrar-por-um-servico,Quanto cobrar por um serviço?,published,content,,2025-01-29T14:09:52.243Z,2025-01-29T14:09:52.243Z,2025-01-29T14:09:52.255Z,,Vitor2023,1,0,0,2
676d3036-e540-44f4-93f1-9efced8dc790,3ef7ae61-40c5-4aea-9c06-133cfe0ccda2,,duvida-devo-me-candidatar-como-junior-ou-pleno,[Dúvida] Devo me candidatar como Júnior ou Pleno?,published,content,,2025-01-29T13:13:34.468Z,2025-01-29T13:13:34.468Z,2025-01-29T13:13:34.476Z,,yannidilly,2,1,0,6
83517f21-ac6e-43fa-9f21-2d479ab3794c,abf6e37f-da28-428e-bb64-a510773aa6a9,,boas-praticas-ao-nomear-enums-e-interfaces-no-typescript,Boas práticas ao nomear enums e interfaces no TypeScript!,published,content,,2025-01-29T13:06:12.690Z,2025-01-29T13:06:12.690Z,2025-01-29T13:06:12.733Z,,shrizzon,1,0,0,1
a44d2c2f-6460-42ea-a28d-ec84834c45d0,9b458c0b-0c21-433f-a8f0-2efd3dd884b1,,deepseek-lanca-gerador-de-imagens-para-competir-com-dall-e-3-da-openai,DeepSeek lança gerador de imagens para competir com DALL-E 3 da OpenAI,published,content,https://go.theregister.com/feed/www.theregister.com/2025/01/27/deepseek_image_openai/,2025-01-29T12:32:38.922Z,2025-01-29T12:32:38.922Z,2025-01-29T12:32:38.940Z,,NewsletterOficial,4,3,0,0
7f691871-3552-47e8-8ce5-ef9ec30ced6d,69bb26f9-5746-4f16-a6a9-b0b31c373ce0,,caso-deepseek-o-verdadeiro-poder-esta-no-software,Caso: DeepSeek - O verdadeiro poder esta no software,published,content,https://eduardotrevizan.substack.com/p/o-verdadeiro-poder-esta-no-software,2025-01-29T11:25:48.890Z,2025-01-29T11:25:48.890Z,2025-01-29T11:25:48.896Z,,TrevizoTecnologia,10,9,0,6
a1755a38-489f-4d93-98f5-88114df51dc0,69bb26f9-5746-4f16-a6a9-b0b31c373ce0,,minha-biblioteca-pessoal-50-livros-que-transformaram-minha-jornada,Minha Biblioteca Pessoal: 50+ Livros que Transformaram Minha Jornada,published,content,https://www.notion.so/146fabda028e42e496480632c36dac1e?v=04e5017a5abb4cdaa3f2bebf36951a81,2025-01-29T11:19:22.961Z,2025-01-29T11:19:22.961Z,2025-01-29T11:19:22.971Z,,TrevizoTecnologia,2,1,0,3
